"","time","Bella.Bella","Rosemary.Rosemary"
"1",1880,0.000133,0
"2",1881,0.000243,0
"3",1882,0.000138,7.8e-05
"4",1883,0.000142,6.7e-05
"5",1884,0.000225,5.1e-05
"6",1885,0.000176,0
"7",1886,0.000143,7.2e-05
"8",1887,0.000167,7.1e-05
"9",1888,0.000164,0
"10",1889,0.000196,7.4e-05
"11",1890,0.000208,7.9e-05
"12",1891,0.000188,5.6e-05
"13",1892,0.000236,7.1e-05
"14",1893,0.000204,0.000102
"15",1894,0.000148,5.1e-05
"16",1895,0.000158,9.3e-05
"17",1896,0.000171,7.1e-05
"18",1897,0.000177,0.000117
"19",1898,0.000142,0.000106
"20",1899,0.000214,9.3e-05
"21",1900,0.00023,0.000126
"22",1901,0.000142,0.000114
"23",1902,0.000189,0.000132
"24",1903,0.000158,0.000173
"25",1904,0.000147,0.000185
"26",1905,0.000168,0.000207
"27",1906,0.000172,0.000198
"28",1907,0.000178,0.000258
"29",1908,0.000183,0.000257
"30",1909,0.000204,0.000334
"31",1910,0.000174,0.000336
"32",1911,0.000186,0.000362
"33",1912,0.000193,0.000508
"34",1913,0.000191,0.000593
"35",1914,0.000191,0.000707
"36",1915,0.000156,0.000801
"37",1916,0.000191,0.000917
"38",1917,0.000191,1
"39",1918,0.000198,0.001047
"40",1919,0.00018,0.001133
"41",1920,0.000151,0.001375
"42",1921,0.00015,0.001588
"43",1922,0.000143,0.001741
"44",1923,0.000137,0.001937
"45",1924,0.000103,0.002112
"46",1925,0.000105,0.002181
"47",1926,8.6e-05,0.002358
"48",1927,7.3e-05,0.00255
"49",1928,6.1e-05,0.002483
"50",1929,7.2e-05,0.002682
"51",1930,5.5e-05,0.002705
"52",1931,4.5e-05,0.002463
"53",1932,0,0.002245
"54",1933,0,0.002129
"55",1934,0,0.001969
"56",1935,0,0.002205
"57",1936,0,0.001992
"58",1937,0,0.002094
"59",1938,0,0.002349
"60",1939,0,0.002303
"61",1940,0,0.002433
"62",1941,0,0.002148
"63",1942,0,0.002158
"64",1943,0,0.002069
"65",1944,0,0.002008
"66",1945,0,0.002599
"67",1946,0,0.002783
"68",1947,0,0.002499
"69",1948,0,0.002221
"70",1949,0,0.002069
"71",1950,0,0.001966
"72",1951,0,0.001809
"73",1952,0,0.001465
"74",1953,0,0.001256
"75",1954,0,0.001101
"76",1955,0,0.001002
"77",1956,0,0.001001
"78",1957,0,0.001084
"79",1958,0,0.001072
"80",1959,0,0.001074
"81",1960,0,0.001052
"82",1961,0,0.001026
"83",1962,0,0.000955
"84",1963,0,0.000872
"85",1964,0,0.000832
"86",1965,0,0.000698
"87",1966,0,0.000639
"88",1967,0,0.000532
"89",1968,0,0.000511
"90",1969,0,0.000451
"91",1970,0,0.000435
"92",1971,0,0.000424
"93",1972,0,0.000383
"94",1973,0,0.000392
"95",1974,0,4e-04
"96",1975,0,0.000343
"97",1976,0,0.000316
"98",1977,0,0.000279
"99",1978,0,0.000277
"100",1979,0,0.000283
"101",1980,0,0.000323
"102",1981,0,0.000316
"103",1982,0,0.000293
"104",1983,0,0.000273
"105",1984,0,0.000271
"106",1985,0,0.000277
"107",1986,0,0.000256
"108",1987,0,0.000243
"109",1988,0,0.000225
"110",1989,0,0.000234
"111",1990,0,0.000229
"112",1991,0,0.000211
"113",1992,0,0.00021
"114",1993,0,0.000199
"115",1994,0,0.000205
"116",1995,0,0.00021
"117",1996,0,0.000219
"118",1997,0,0.000177
"119",1998,0,0.000202
"120",1999,0,0.000191
"121",2000,0.000154,0.000198
"122",2001,0.000208,2e-04
"123",2002,0.000345,0.000203
"124",2003,0.000484,0.000199
"125",2004,0.000615,0.000184
"126",2005,0.000819,0.000177
"127",2006,0.000935,0.000196
"128",2007,0.001062,0.000191
"129",2008,0.001336,0.00019
"130",2009,0.002242,0.000199
"131",2010,0.002614,0.000201
"132",2011,0.002206,0.000225
